iter	Passed	Remaining
0	1	109
1	2	104
2	3	107
3	4	100
4	5	99
5	6	99
6	7	97
7	8	95
8	9	94
9	10	91
10	11	89
11	12	88
12	13	87
13	14	86
14	14	84
15	15	83
16	16	82
17	17	81
18	18	79
19	19	78
20	20	77
21	21	75
22	22	74
23	23	73
24	24	72
25	24	70
26	25	69
27	26	68
28	27	67
29	28	66
30	29	65
31	30	64
32	31	63
33	32	62
34	33	61
35	34	60
36	35	59
37	35	58
38	36	57
39	37	56
40	38	55
41	39	54
42	40	53
43	41	52
44	41	51
45	42	50
46	43	49
47	44	48
48	45	47
49	46	46
50	47	45
51	47	44
52	48	43
53	49	42
54	50	41
55	51	40
56	52	39
57	53	38
58	54	37
59	55	36
60	56	36
61	57	35
62	58	34
63	59	33
64	61	33
65	62	32
66	63	31
67	64	30
68	65	29
69	66	28
70	67	27
71	68	26
72	69	25
73	70	24
74	71	23
75	72	22
76	73	22
77	74	21
78	75	20
79	76	19
80	77	18
81	79	17
82	80	16
83	81	15
84	82	14
85	82	13
86	83	12
87	85	11
88	86	10
89	87	9
90	88	8
91	89	7
92	90	6
93	91	5
94	92	4
95	93	3
96	94	2
97	95	1
98	96	0
99	97	0
