iter	Passed	Remaining
0	127	127190
1	128	63884
2	128	42693
3	129	32171
4	129	25827
5	130	21601
6	130	18570
7	131	16304
8	132	14542
9	132	13136
10	133	11987
11	133	11027
12	134	10210
13	134	9506
14	135	8895
15	136	8364
16	136	7890
17	136	7469
18	137	7094
19	137	6755
20	138	6451
21	138	6173
22	139	5922
23	139	5692
24	140	5479
25	140	5280
26	141	5098
27	142	4930
28	142	4770
29	142	4623
30	143	4485
31	144	4372
32	145	4251
33	145	4135
34	146	4026
35	146	3923
36	146	3823
37	147	3732
38	148	3647
39	148	3564
40	148	3484
41	149	3408
42	149	3337
43	150	3270
44	150	3204
45	151	3141
46	152	3082
47	152	3026
48	153	2971
49	153	2919
50	154	2868
51	154	2819
52	155	2773
53	155	2729
54	156	2685
55	156	2644
56	157	2604
57	157	2565
58	158	2527
59	158	2490
60	159	2457
61	160	2422
62	160	2390
63	161	2359
64	161	2327
65	162	2297
66	162	2269
67	163	2240
68	163	2212
69	164	2184
70	165	2159
71	165	2134
72	166	2110
73	166	2087
74	167	2063
75	167	2041
76	168	2018
77	168	1996
78	169	1974
79	169	1953
80	170	1933
81	171	1914
82	171	1896
83	172	1877
84	172	1858
85	173	1840
86	173	1823
87	174	1806
88	174	1789
89	175	1772
90	175	1756
91	176	1741
92	177	1726
93	177	1711
94	178	1696
95	178	1681
96	179	1666
97	179	1652
98	180	1638
99	180	1624
100	181	1611
101	181	1598
102	182	1585
103	182	1573
104	183	1561
105	183	1549
106	184	1537
107	184	1525
108	185	1514
109	185	1503
110	186	1491
111	186	1481
112	187	1469
113	187	1458
114	188	1448
115	188	1438
116	189	1428
117	189	1418
118	190	1408
119	190	1398
120	191	1389
121	191	1379
122	192	1370
123	192	1361
124	193	1352
125	193	1343
126	194	1334
127	194	1326
128	195	1318
129	195	1310
130	196	1302
131	196	1294
132	197	1286
133	197	1278
134	198	1271
135	199	1264
136	199	1256
137	199	1249
138	200	1241
139	200	1234
140	201	1228
141	202	1220
142	202	1214
143	203	1207
144	203	1200
145	204	1193
146	204	1186
147	205	1180
148	205	1173
149	205	1167
150	206	1160
151	206	1154
152	207	1147
153	207	1142
154	208	1136
155	208	1130
156	209	1124
157	210	1119
158	210	1113
159	211	1108
160	211	1101
161	211	1096
162	212	1090
163	212	1085
164	213	1079
165	213	1074
166	214	1069
167	215	1064
168	215	1059
169	216	1054
170	216	1049
171	217	1044
172	217	1039
173	218	1035
174	218	1030
175	219	1026
176	219	1021
177	220	1017
178	220	1013
179	221	1008
180	221	1004
181	222	999
182	222	995
183	223	990
184	223	986
185	224	982
186	224	977
187	225	973
188	225	969
189	226	965
190	227	961
191	227	957
192	228	953
193	228	949
194	229	946
